predictor,  word,  occPerM
face,  and,  13
face,  is,  12
facebook,  page,  34
facebook,  and,  27
facebook,  is,  16
fact,  that,  68
fact,  i,  11
fact,  of,  9
factor,  in,  5
factsaboutme,  i,  6
fail,  to,  9
failed,  to,  7
fails,  to,  7
failure,  is,  14
failure,  to,  5
fair,  enough,  9
fair,  to,  5
fair,  and,  5
faith,  in,  20
faith,  is,  8
faith,  and,  6
fake,  people,  5
fall,  asleep,  40
fall,  in,  27
fall,  for,  15
falling,  asleep,  13
falling,  in,  12
falling,  apart,  5
familiar,  with,  9
family,  and,  35
family,  is,  21
family,  in,  13
fan,  of,  74
fan,  i,  15
fan,  but,  14
fans,  are,  23
fans,  and,  13
fans,  of,  12
fantastic,  day,  6
fantasy,  football,  10
fantasy,  baseball,  6
far,  away,  25
far,  as,  22
far,  from,  21
farmers,  market,  15
farmer's,  market,  5
fashion,  show,  14
fashion,  week,  6
fast,  and,  11
fast,  food,  10
fast,  enough,  7
faster,  than,  16
fat,  tuesday,  6
fat,  and,  6
father,  of,  5
fathers,  day,  6
father's,  day,  10
favor,  of,  8
favor,  and,  8
favorite,  song,  23
favorite,  part,  14
favorite,  thing,  11
fb,  page,  16
fb,  and,  9
fear,  of,  20
fear,  is,  9
fear,  the,  9
feature,  film,  6
feature,  on,  6
featured,  in,  9
featured,  on,  8
featuring,  the,  5
feed,  the,  7
feedback,  on,  7
feedback,  and,  5
feel,  like,  306
feel,  better,  74
feel,  so,  55
feelin,  like,  5
feeling,  like,  25
feeling,  better,  19
feeling,  the,  16
feelings,  for,  7
feels,  like,  71
feels,  good,  31
feels,  so,  19
feet,  are,  6
feet,  of,  5
feet,  away,  5
fell,  asleep,  20
fell,  in,  11
fell,  off,  9
felt,  like,  24
felt,  so,  10
felt,  the,  8
festival,  in,  8
festival,  of,  5
few,  days,  59
few,  weeks,  39
few,  hours,  30
ff,  to,  17
ff,  love,  11
ff,  for,  9
field,  trip,  11
field,  of,  6
field,  goal,  5
fight,  for,  20
fight,  with,  9
fight,  the,  6
fighting,  for,  10
fighting,  the,  5
figure,  out,  75
figure,  it,  15
figure,  this,  5
figured,  out,  20
figured,  it,  10
figured,  that,  5
figuring,  out,  9
fill,  in,  12
fill,  out,  7
fill,  the,  7
filled,  with,  33
filling,  up,  6
film,  festival,  19
film,  and,  5
film,  fest,  5
final,  four,  15
final,  day,  5
finale,  of,  10
finally,  got,  37
finally,  get,  14
finally,  getting,  13
finals,  week,  7
finals,  and,  5
finals,  are,  5
find,  out,  113
find,  a,  105
find,  it,  59
finding,  a,  14
finding,  out,  11
finding,  the,  10
fine,  with,  9
fine,  i,  9
fine,  but,  7
fingers,  are,  5
finish,  the,  13
finish,  this,  12
finish,  my,  11
finished,  a,  27
finished,  the,  18
finished,  my,  16
finishing,  up,  17
finna,  go,  5
fire,  and,  10
fire,  in,  7
fired,  up,  10
first,  time,  162
first,  day,  64
first,  thing,  21
fish,  and,  6
fish,  tacos,  5
fit,  in,  16
fit,  for,  7
fit,  into,  6
five,  minutes,  9
five,  years,  8
five,  days,  5
fix,  it,  17
fix,  the,  9
fix,  that,  7
fixed,  it,  5
flat,  out,  5
flight,  to,  16
flirting,  with,  5
floor,  of,  6
floor,  and,  5
florida,  and,  5
fly,  to,  8
fly,  by,  5
flying,  to,  6
focus,  on,  58
focused,  on,  18
focusing,  on,  13
folks,  at,  8
folks,  who,  8
folks,  are,  7
follow,  me,  549
follow,  back,  192
follow,  you,  73
followed,  me,  35
followed,  by,  34
followed,  you,  21
followers,  and,  19
followers,  i,  18
followers,  to,  14
following,  me,  114
following,  you,  53
following,  us,  39
follows,  me,  12
follows,  back,  11
follows,  you,  5
fond,  of,  5
food,  and,  45
food,  for,  16
food,  is,  16
fools,  day,  5
foot,  in,  5
football,  game,  10
football,  season,  9
football,  team,  9
for,  the,  3340
for,  a,  1340
for,  you,  532
forced,  to,  14
forecast,  for,  9
forever,  to,  11
forever,  and,  9
forever,  be,  6
forget,  to,  88
forget,  the,  32
forget,  about,  31
forgive,  me,  9
forgive,  you,  7
forgot,  to,  45
forgot,  about,  21
forgot,  how,  20
form,  of,  22
forms,  of,  5
fort,  worth,  5
forward,  to,  531
found,  out,  62
found,  a,  41
found,  the,  27
foundation,  of,  5
founder,  of,  7
four,  years,  7
four,  days,  7
four,  hours,  5
fourth,  be,  7
fox,  news,  15
freak,  out,  10
freaked,  out,  8
freaking,  out,  18
freaking,  love,  7
free,  to,  57
free,  and,  13
free,  for,  11
freedom,  of,  6
freedom,  to,  5
fresh,  air,  7
freshman,  year,  7
friday,  night,  61
friday,  and,  25
friday,  the,  23
fried,  chicken,  11
friend,  and,  26
friend,  is,  23
friend,  of,  18
friends,  and,  64
friends,  are,  30
friends,  to,  27
friendship,  is,  5
fries,  and,  6
from,  the,  545
from,  a,  164
from,  my,  131
front,  of,  88
front,  row,  9
front,  door,  8
fuck,  you,  49
fuck,  up,  30
fuck,  it,  28
fucked,  up,  38
fucking,  hate,  11
fucking,  love,  10
fucking,  with,  7
full,  of,  104
full,  time,  12
full,  day,  10
fun,  to,  46
fun,  and,  43
fun,  of,  27
funding,  for,  5
funniest,  thing,  6
funny,  how,  40
funny,  i,  18
funny,  and,  15
future,  of,  26
future,  is,  13
future,  and,  5
fwd,  to,  13
game,  is,  56
game,  of,  56
game,  tonight,  39
games,  and,  14
games,  in,  11
games,  are,  9
gas,  station,  12
gas,  prices,  9
gave,  me,  53
gave,  up,  19
gave,  you,  14
gay,  marriage,  24
gearing,  up,  18
generation,  of,  5
get,  a,  438
get,  to,  305
get,  it,  272
gets,  a,  30
gets,  the,  24
gets,  me,  20
gettin,  ready,  8
gettin,  it,  6
gettin,  my,  5
getting,  ready,  132
getting,  a,  88
getting,  my,  45
gift,  card,  24
gift,  for,  11
gift,  of,  10
gig,  at,  5
gimme,  a,  6
girl,  i,  36
girl,  in,  24
girl,  is,  23
girlfriend,  is,  5
girls,  are,  24
girls,  who,  14
girls,  that,  13
give,  me,  133
give,  you,  85
give,  a,  82
given,  the,  12
given,  up,  9
given,  to,  8
gives,  me,  26
gives,  you,  22
gives,  a,  14
giving,  away,  28
giving,  me,  24
giving,  up,  22
glad,  you,  176
glad,  to,  147
glad,  i,  70
glass,  of,  26
glasses,  of,  5
gluten,  free,  8
go,  to,  628
go,  back,  103
go,  on,  91
goal,  is,  17
goal,  for,  10
goal,  of,  10
goals,  and,  8
goals,  for,  7
god,  is,  61
god,  bless,  61
god,  i,  42
goes,  to,  51
goes,  on,  24
goes,  out,  16
goin,  to,  36
goin,  on,  12
goin,  down,  7
going,  to,  1539
going,  on,  173
going,  out,  40
golf,  course,  7
gon,  be,  9
gone,  be,  16
gone,  to,  16
gone,  for,  9
gonna,  be,  256
gonna,  get,  46
gonna,  go,  44
good,  morning,  348
good,  luck,  284
good,  to,  198
goodbye,  to,  10
goodness,  for,  8
goodness,  i,  6
goodnight,  everyone,  9
goodnight,  twitter,  9
google,  is,  7
google,  it,  7
google,  and,  6
gorgeous,  day,  14
gorgeous,  and,  5
gosh,  i,  13
gossip,  girl,  6
got,  a,  354
got,  to,  181
got,  the,  132
gotta,  love,  52
gotta,  get,  49
gotta,  be,  36
gotten,  a,  8
grab,  a,  24
grab,  some,  7
grab,  your,  5
grad,  school,  13
grad,  students,  6
grand,  opening,  17
graphic,  design,  7
grateful,  for,  23
grateful,  to,  8
great,  day,  190
great,  to,  150
great,  time,  108
greater,  than,  9
greatest,  thing,  6
greatly,  appreciated,  6
green,  bay,  16
green,  tea,  9
green,  and,  9
greetings,  from,  5
grew,  up,  26
grilled,  cheese,  13
grocery,  store,  14
grocery,  shopping,  7
group,  of,  36
group,  is,  6
group,  and,  5
grow,  up,  35
grow,  a,  7
grow,  the,  5
growing,  up,  20
grown,  up,  9
guarantee,  you,  5
guess,  i,  64
guess,  what,  36
guess,  i'll,  24
guest,  list,  8
guest,  on,  6
guide,  to,  7
guilty,  of,  6
guilty,  pleasure,  5
gunna,  be,  13
guy,  who,  37
guy,  in,  26
guy,  is,  26
guys,  are,  85
guys,  i,  25
guys,  have,  25
gym,  and,  6
gym,  time,  6
gym,  today,  5
ha,  ha,  61
ha,  i,  32
ha,  rt,  11
habit,  of,  8
had,  a,  590
had,  to,  227
had,  the,  97
haha,  i,  122
haha,  yeah,  22
haha,  you,  22
hahah,  i,  9
hahaha,  i,  30
hahaha,  you,  8
hahaha,  yeah,  5
hahahaha,  i,  8
hair,  is,  21
hair,  and,  17
hair,  cut,  11
half,  of,  39
half,  the,  23
half,  a,  13
halftime,  show,  8
halfway,  through,  6
hall,  of,  18
hand,  in,  11
hand,  and,  9
hand,  is,  7
handful,  of,  8
handing,  out,  6
handle,  it,  10
handle,  the,  8
handle,  this,  5
hands,  down,  16
hands,  on,  14
hands,  and,  8
hang,  out,  73
hang,  with,  18
hang,  in,  16
hanging,  out,  54
hanging,  with,  19
hanging,  in,  6
hangout,  with,  5
happen,  to,  41
happen,  in,  11
happen,  for,  7
happened,  to,  74
happened,  in,  7
happened,  with,  5
happening,  in,  13
happening,  now,  7
happening,  to,  6
happens,  to,  26
happens,  when,  20
happens,  in,  8
happiness,  is,  23
happiness,  and,  6
happy,  birthday,  376
happy,  to,  145
happy,  new,  89
hard,  to,  170
hard,  work,  45
hard,  for,  25
harder,  to,  12
harder,  than,  11
hardest,  thing,  7
hardest,  part,  6
has,  been,  289
has,  a,  263
has,  to,  117
hash,  tag,  8
hashtag,  for,  6
hasn't,  been,  14
hate,  when,  81
hate,  it,  54
hate,  you,  47
hates,  me,  9
hating,  on,  12
hats,  off,  6
have,  a,  1505
have,  to,  999
have,  you,  327
havent,  been,  13
havent,  seen,  7
haven't,  been,  62
haven't,  seen,  51
haven't,  had,  21
havin,  a,  7
having,  a,  236
having,  to,  36
having,  fun,  30
he,  is,  252
he,  was,  191
he,  has,  94
head,  to,  34
head,  up,  17
head,  and,  15
headed,  to,  83
headed,  back,  9
headed,  out,  7
heading,  to,  97
heading,  out,  20
heading,  back,  12
heads,  up,  33
health,  care,  21
health,  and,  12
health,  insurance,  10
healthy,  and,  8
hear,  that,  58
hear,  the,  48
hear,  it,  46
heard,  of,  45
heard,  the,  29
heard,  that,  29
hearing,  about,  13
hearing,  from,  9
hearing,  the,  9
heart,  is,  25
heart,  and,  22
heart,  attack,  18
heat,  fans,  6
heat,  in,  5
heat,  are,  5
heck,  yeah,  8
heck,  of,  6
heck,  is,  6
he'd,  be,  8
hehe,  i,  5
held,  at,  5
held,  in,  5
hell,  yeah,  49
hell,  is,  24
hell,  of,  24
he'll,  be,  16
hello,  to,  21
hello,  there,  9
hello,  and,  9
help,  me,  93
help,  you,  79
help,  us,  53
helped,  me,  12
helping,  me,  14
helping,  us,  11
helping,  to,  9
helps,  me,  8
helps,  to,  5
helps,  you,  5
her,  to,  35
her,  and,  23
her,  i,  22
here,  in,  148
here,  i,  74
here,  at,  67
here's,  to,  28
here's,  a,  14
here's,  my,  11
hes,  a,  5
he's,  a,  51
he's,  not,  32
he's,  the,  24
hesitate,  to,  5
hey,  i,  72
hey,  thanks,  37
hey,  guys,  35
hi,  to,  24
hi,  i,  19
hi,  there,  15
hide,  the,  5
high,  school,  116
high,  five,  13
high,  on,  10
higher,  than,  11
higher,  ed,  9
higher,  education,  6
highlight,  of,  12
highly,  recommend,  16
hilarious,  and,  5
him,  to,  72
him,  and,  47
him,  in,  39
himself,  in,  5
hip,  hop,  36
hire,  a,  6
his,  own,  35
his,  name,  30
his,  first,  22
history,  of,  27
history,  and,  7
history,  month,  5
hit,  me,  82
hit,  the,  77
hit,  up,  27
hits,  the,  9
hits,  a,  5
hittin,  the,  5
hitting,  the,  21
hitting,  up,  6
hm,  i,  10
hmm,  i,  7
hockey,  game,  7
hold,  on,  27
hold,  a,  12
hold,  up,  12
holding,  a,  12
holding,  on,  7
holding,  the,  5
hole,  in,  11
holiday,  season,  18
holiday,  weekend,  10
holiday,  party,  8
holidays,  to,  8
holla,  at,  13
holy,  crap,  25
holy,  spirit,  5
home,  from,  59
home,  and,  59
home,  to,  39
homework,  and,  7
honest,  i,  6
honestly,  i,  12
honestly,  don't,  7
honor,  of,  27
honor,  to,  8
honored,  to,  22
hook,  up,  10
hook,  me,  5
hook,  you,  5
hooked,  on,  7
hooked,  up,  5
hooray,  for,  8
hop,  on,  9
hope,  you,  373
hope,  to,  152
hope,  you're,  68
hopefully,  i,  17
hopefully,  the,  11
hopefully,  we,  11
hopes,  up,  7
hoping,  to,  37
hoping,  for,  27
hoping,  that,  11
host,  a,  7
host,  the,  5
hosted,  by,  17
hosting,  a,  14
hosting,  the,  11
hot,  and,  16
hot,  in,  15
hot,  dogs,  11
hotel,  room,  7
hotel,  in,  7
hotel,  and,  5
hotter,  than,  7
hour,  and,  21
hour,  of,  15
hour,  to,  11
hours,  of,  51
hours,  to,  21
hours,  and,  18
house,  and,  28
house,  of,  21
house,  is,  21
housewives,  of,  6
how,  to,  339
how,  much,  201
how,  are,  194
how'd,  you,  6
however,  i,  7
hows,  your,  5
how's,  the,  19
how's,  your,  17
how's,  it,  15
hrs,  of,  8
huffington,  post,  5
huge,  fan,  20
huge,  thanks,  6
huge,  success,  6
hugs,  and,  5
hugs,  to,  5
huh,  i,  6
huh,  lol,  5
human,  being,  12
human,  rights,  6
humor,  is,  5
hump,  day,  22
hundreds,  of,  12
hung,  out,  8
hung,  up,  6
hunger,  games,  59
hungry,  and,  8
hungry,  for,  6
hungry,  i,  5
hunt,  for,  6
hunter,  matt,  7
hurry,  up,  28
hurry,  and,  5
hurt,  you,  11
hurt,  me,  10
hurt,  my,  8
hurts,  so,  5
husband,  is,  8
husband,  and,  6
i,  love,  1608
i,  have,  1426
i,  am,  1318
ice,  cream,  84
ice,  cold,  9
iced,  coffee,  8
iced,  tea,  5
id,  be,  7
id,  rather,  6
id,  like,  5
i'd,  be,  65
i'd,  like,  58
i'd,  love,  55
idea,  of,  30
idea,  what,  29
idea,  how,  18
ideas,  for,  22
ideas,  and,  8
ideas,  on,  8
idk,  what,  18
idk,  why,  15
idk,  if,  15
if,  you,  1468
if,  i,  593
if,  you're,  208
ignorance,  is,  5
ignore,  the,  8
ignore,  me,  6
ignore,  it,  5
ikr,  i,  6
ill,  be,  42
ill,  give,  7
ill,  get,  7
i'll,  be,  284
i'll,  have,  63
i'll,  take,  41
illegal,  to,  5
im,  not,  102
im,  so,  76
im,  going,  54
i'm,  not,  424
i'm,  going,  272
i'm,  so,  254
ima,  be,  11
ima,  go,  6
ima,  get,  6
image,  of,  6
images,  of,  6
imagine,  the,  9
imagine,  how,  9
imagine,  what,  8
imma,  be,  7
impact,  on,  8
impact,  of,  7
importance,  of,  15
important,  to,  27
important,  than,  13
important,  thing,  7
impossible,  to,  21
impressed,  with,  13
impressed,  by,  8
improve,  your,  7
improve,  the,  6
in,  the,  3519
in,  a,  1043
in,  my,  767
inability,  to,  5
inbox,  me,  8
inches,  of,  5
include,  a,  7
include,  the,  5
included,  in,  6
including,  the,  7
including,  me,  7
including,  a,  5
increase,  in,  7
indeed,  i,  7
indeed,  it,  5
indeed,  rt,  5
independence,  day,  6
info,  on,  28
info,  to,  12
info,  and,  9
information,  on,  8
information,  about,  7
information,  and,  6
infront,  of,  5
inside,  the,  17
inside,  of,  13
inside,  and,  8
insist,  on,  5
inspiration,  to,  10
inspiration,  for,  7
inspiration,  and,  6
inspire,  me,  13
inspired,  by,  19
inspired,  me,  11
inspired,  to,  5
instagram,  is,  5
instead,  of,  143
instead,  i,  6
intend,  to,  6
interact,  with,  5
interest,  in,  18
interested,  in,  108
interested,  to,  10
interesting,  to,  21
interesting,  and,  8
interesting,  i,  6
international,  women's,  6
internet,  is,  10
internet,  and,  5
internet,  marketing,  5
interview,  with,  28
interview,  you,  9
interview,  on,  9
interviews,  with,  5
into,  the,  187
into,  a,  122
into,  my,  54
intro,  to,  8
invented,  the,  5
invest,  in,  13
investing,  in,  5
investment,  in,  5
invite,  to,  7
invite,  you,  7
invite,  me,  5
invited,  to,  15
inviting,  me,  5
involved,  in,  19
involved,  with,  8
ipad,  app,  8
ipad,  and,  6
iphone,  app,  13
iphone,  and,  9
iphone,  is,  7
ipod,  touch,  8
iron,  man,  7
is,  a,  1212
is,  the,  1089
is,  not,  397
isn't,  it,  35
isn't,  a,  28
isn't,  that,  25
issue,  of,  17
issue,  is,  8
issue,  with,  7
issues,  with,  11
issues,  in,  5
issues,  and,  5
it,  was,  931
it,  is,  787
it,  to,  295
it'd,  be,  21
it'll,  be,  45
its,  a,  117
its,  not,  87
its,  the,  50
it's,  a,  364
it's,  not,  231
it's,  the,  135
itunes,  and,  5
ive,  been,  27
ive,  never,  6
ive,  got,  6
i've,  been,  247
i've,  got,  73
i've,  never,  69
jack,  white,  6
jack,  and,  5
jail,  for,  5
jamming,  to,  6
jealous,  of,  25
jealous,  i,  8
jealous,  that,  6
jesus,  is,  7
jesus,  i,  5
jk,  i,  6
job,  on,  18
job,  in,  16
job,  is,  16
jobs,  in,  7
jobs,  and,  7
join,  us,  139
join,  the,  43
join,  me,  28
joined,  the,  11
joined,  us,  5
joined,  twitter,  5
joining,  us,  21
joining,  the,  11
joke,  about,  6
joke,  i,  5
jonas,  brothers,  6
jones,  is,  5
journey,  to,  6
journey,  of,  5
joy,  of,  7
joy,  to,  6
joy,  and,  6
judge,  me,  15
judge,  a,  5
judge,  you,  5
july,  st,  5
jump,  on,  11
jump,  in,  8
jump,  off,  6
jumping,  on,  5
june,  st,  6
junk,  food,  6
just,  got,  326
just,  a,  217
just,  saw,  160
justice,  for,  5
justin,  is,  7
justin,  i,  5
k,  in,  9
k,  followers,  8
k,  and,  7
kansas,  city,  15
kanye,  west,  8
keep,  it,  101
keep,  up,  82
keep,  your,  52
keeping,  me,  10
keeping,  it,  10
keeping,  up,  9
keeps,  me,  11
keeps,  getting,  8
keeps,  you,  5
kept,  me,  5
key,  to,  32
key,  is,  5
keys,  to,  7
kick,  off,  16
kick,  it,  15
kick,  some,  7
kicked,  out,  10
kicked,  my,  6
kicked,  off,  5
kickin,  it,  5
kicking,  off,  9
kicking,  my,  5
kicks,  off,  10
kid,  is,  12
kid,  i,  9
kid,  in,  9
kidding,  me,  19
kidding,  i,  8
kids,  are,  29
kids,  and,  17
kids,  to,  15
kill,  me,  24
kill,  you,  18
kill,  it,  15
killed,  it,  24
killed,  in,  8
killed,  me,  7
killin,  it,  7
killing,  me,  35
killing,  it,  16
kills,  me,  8
kind,  of,  263
kind,  words,  28
kind,  to,  6
kinda,  like,  13
kinda,  weird,  5
kinda,  day,  5
kindle,  fire,  6
kinds,  of,  25
king,  of,  15
king,  jr,  10
kiss,  my,  10
kiss,  me,  9
kiss,  on,  5
knew,  it,  23
knew,  that,  20
knew,  i,  16
kno,  i,  6
kno,  u,  5
knock,  out,  6
knock,  it,  5
knocked,  out,  8
know,  what,  329
know,  how,  213
know,  i,  185
knowing,  that,  13
knowing,  what,  7
knowing,  you,  6
knowledge,  is,  8
knowledge,  of,  7
known,  as,  17
known,  for,  8
known,  to,  5
knows,  how,  20
knows,  what,  16
knows,  the,  12
kobe,  is,  6
kudos,  to,  13
la,  la,  16
la,  and,  9
la,  for,  8
labor,  day,  17
lack,  of,  51
ladies,  and,  11
ladies,  night,  8
ladies,  free,  7
lady,  in,  8
lady,  i,  6
lady,  is,  6
laker,  fans,  6
lakers,  are,  7
land,  of,  10
landed,  in,  12
language,  of,  5
las,  vegas,  40
last,  night,  500
last,  year,  98
last,  week,  92
late,  night,  38
late,  to,  34
late,  for,  19
lately,  i,  7
later,  this,  23
later,  today,  18
later,  on,  13
laugh,  at,  19
laugh,  and,  9
laugh,  out,  7
laughing,  at,  16
laughing,  so,  8
launch,  of,  10
launch,  party,  8
launch,  a,  5
laundry,  and,  5
law,  school,  9
law,  and,  8
law,  of,  6
lay,  down,  11
lay,  in,  8
laying,  in,  16
laying,  down,  9
laying,  on,  6
lazy,  to,  12
lazy,  day,  5
lbs,  of,  5
lead,  to,  20
lead,  the,  10
lead,  in,  8
leadership,  is,  10
leading,  the,  8
leads,  to,  15
league,  of,  6
leap,  day,  8
learn,  how,  39
learn,  to,  36
learn,  more,  32
learned,  that,  15
learned,  from,  12
learned,  a,  12
learning,  about,  16
learning,  to,  12
learning,  how,  11
least,  i,  31
least,  you,  17
least,  one,  16
leave,  the,  30
leave,  me,  23
leave,  it,  19
leaving,  the,  16
leaving,  for,  11
leaving,  my,  6
lebron,  james,  9
lebron,  is,  6
led,  to,  6
led,  by,  5
left,  to,  29
left,  in,  27
left,  the,  23
legs,  are,  6
legs,  and,  5
lemme,  know,  10
lemonade,  is,  5
length,  of,  5
less,  than,  83
less,  about,  7
less,  then,  5
lesson,  learned,  6
let,  me,  351
let,  us,  131
let,  you,  90
lets,  go,  58
lets,  get,  30
lets,  do,  13
let's,  go,  136
let's,  get,  65
let's,  do,  42
letter,  to,  7
letter,  from,  5
letting,  me,  23
letting,  us,  9
letting,  go,  8
level,  of,  20
levels,  of,  7
library,  is,  8
library,  of,  5
library,  and,  5
lie,  to,  14
lie,  i,  9
lied,  to,  7
lies,  in,  5
life,  is,  190
life,  and,  45
life,  i,  33
light,  of,  11
light,  up,  10
light,  and,  7
lights,  on,  6
lights,  out,  5
like,  a,  668
like,  the,  333
like,  to,  320
liked,  it,  33
liked,  the,  23
liked,  your,  6
likely,  to,  20
likes,  to,  15
likes,  you,  8
likes,  it,  6
liking,  the,  8
liking,  it,  6
lil,  bit,  8
lil,  bro,  8
lil,  sis,  5
limit,  on,  5
limited,  time,  8
line,  of,  20
line,  for,  17
line,  up,  14
lined,  up,  8
lines,  of,  6
link,  to,  35
link,  for,  8
link,  up,  7
linked,  to,  7
links,  to,  11
lion,  king,  9
liquor,  store,  5
list,  of,  46
list,  for,  15
list,  is,  8
listen,  to,  182
listen,  and,  6
listen,  for,  5
listened,  to,  37
listenin,  to,  6
listening,  to,  293
listens,  to,  5
literally,  just,  8
little,  bit,  47
little,  more,  23
little,  girl,  19
live,  in,  140
live,  on,  36
live,  music,  27
lived,  in,  22
lived,  there,  5
lives,  in,  16
lives,  of,  7
lives,  on,  5
living,  in,  44
living,  room,  19
living,  the,  12
lmao,  i,  27
lmao,  rt,  9
lmao,  you,  6
lmfao,  i,  11
load,  of,  8
loads,  of,  8
local,  news,  6
located,  in,  8
location,  for,  5
locked,  up,  7
locked,  in,  6
locked,  out,  5
locker,  room,  9
log,  in,  6
log,  on,  5
lol,  i,  200
lol,  rt,  54
lol,  you,  38
long,  time,  94
long,  as,  78
long,  day,  48
longer,  than,  16
longer,  a,  5
look,  at,  182
look,  like,  151
look,  forward,  116
looked,  like,  28
looked,  at,  28
looked,  up,  6
lookin,  for,  9
lookin,  at,  7
lookin,  forward,  6
looking,  forward,  408
looking,  for,  329
looking,  at,  96
lookout,  for,  7
looks,  like,  280
looks,  so,  24
looks,  great,  23
lord,  for,  8
lord,  is,  7
lord,  i,  6
lose,  the,  12
lose,  weight,  9
lose,  my,  9
losing,  my,  7
loss,  of,  15
loss,  for,  7
loss,  to,  6
lost,  my,  29
lost,  in,  20
lost,  a,  19
lot,  of,  296
lot,  more,  26
lot,  to,  23
lots,  of,  224
lots,  to,  13
lots,  and,  5
loud,  and,  8
louder,  than,  6
lounge,  in,  5
love,  you,  685
love,  to,  336
love,  it,  305
loved,  it,  49
loved,  the,  44
loved,  your,  16
lovely,  day,  9
lovely,  to,  5
loves,  you,  32
loves,  me,  17
loves,  the,  9
lovin,  the,  7
lovin,  it,  6
loving,  the,  38
loving,  it,  22
loving,  this,  17
low,  key,  5
luck,  to,  50
luck,  with,  37
luck,  on,  19
luckily,  i,  5
lucky,  to,  25
lucky,  i,  13
lucky,  you,  9
lunch,  with,  26
lunch,  and,  19
lunch,  today,  18
luther,  king,  13
luv,  u,  14
luv,  ya,  7
luv,  it,  5
lying,  to,  6
lyrics,  to,  6
m,  i,  6
mac,  and,  7
mac,  miller,  7
macbook,  pro,  6
mad,  at,  40
mad,  men,  21
mad,  i,  10
made,  it,  111
made,  me,  107
made,  a,  72
mail,  today,  6
mailing,  list,  5
main,  event,  8
main,  street,  6
major,  league,  8
majority,  of,  12
make,  it,  331
make,  a,  228
make,  me,  176
makes,  me,  218
makes,  you,  68
makes,  it,  41
makeup,  and,  5
making,  a,  61
making,  me,  56
making,  it,  37
mall,  with,  5
man,  i,  89
man,  is,  38
man,  who,  30
manage,  to,  9
managed,  to,  17
many,  people,  64
many,  of,  47
many,  times,  41
march,  st,  7
march,  and,  5
march,  at,  5
marching,  band,  5
mark,  your,  11
market,  is,  8
market,  for,  7
market,  in,  6
marketing,  is,  6
marketing,  and,  6
marketwatch,  press,  7
marks,  the,  5
marriage,  is,  9
married,  to,  8
marry,  me,  12
mass,  effect,  6
master,  of,  6
match,  up,  5
match,  for,  5
math,  class,  5
matter,  what,  54
matter,  how,  44
matter,  of,  23
may,  be,  133
may,  have,  72
may,  not,  55
maybe,  i,  53
maybe,  you,  28
maybe,  we,  26
mayor,  of,  9
me,  to,  368
me,  and,  308
me,  a,  271
mean,  i,  36
mean,  to,  35
mean,  the,  31
meaning,  to,  12
meaning,  of,  10
means,  i,  21
means,  a,  20
means,  to,  12
meant,  to,  45
meant,  for,  7
measure,  of,  6
measured,  by,  5
media,  is,  14
media,  and,  11
media,  to,  7
meet,  you,  106
meet,  up,  36
meet,  the,  22
meeting,  you,  54
meeting,  with,  37
meeting,  at,  14
member,  of,  29
members,  of,  14
memorial,  day,  17
memories,  of,  8
memory,  of,  9
men,  and,  16
men,  are,  15
men,  in,  12
mental,  health,  5
mention,  this,  11
mention,  the,  10
mention,  me,  8
mentioned,  in,  5
merry,  christmas,  64
mess,  with,  16
mess,  up,  10
message,  me,  26
message,  to,  11
message,  us,  7
messages,  from,  6
messed,  up,  27
messing,  with,  10
messing,  up,  5
met,  you,  21
met,  a,  12
met,  with,  10
metta,  world,  8
mexican,  food,  9
mi,  run,  15
miami,  heat,  10
miami,  beach,  6
miami,  and,  5
michael,  jackson,  14
middle,  of,  54
middle,  school,  18
middle,  name,  9
midnight,  in,  5
midst,  of,  6
might,  be,  152
might,  have,  62
might,  not,  28
mike,  brown,  6
mike,  and,  5
mile,  run,  9
mile,  high,  6
miles,  away,  7
miles,  in,  6
miles,  to,  5
milk,  and,  6
miller,  park,  10
million,  in,  8
million,  dollars,  7
million,  dollar,  6
millions,  of,  13
min,  of,  6
min,  to,  6
mind,  is,  20
mind,  and,  17
mind,  if,  12
minds,  think,  6
mine,  is,  21
mine,  too,  11
mine,  and,  10
minus,  the,  7
minute,  of,  9
minute,  and,  5
minute,  to,  5
minutes,  of,  26
minutes,  to,  22
minutes,  and,  12
miss,  you,  262
miss,  the,  58
miss,  my,  53
missed,  you,  44
missed,  the,  33
missed,  it,  29
misses,  you,  8
missing,  out,  16
missing,  the,  15
missing,  my,  12
mission,  to,  6
mix,  of,  11
mix,  and,  5
mix,  tape,  5
mixed,  with,  5
mobile,  app,  9
mobile,  apps,  5
model,  for,  9
model,  of,  5
modern,  family,  6
mom,  is,  35
mom,  and,  30
mom,  to,  14
moment,  when,  112
moment,  of,  18
moment,  i,  10
moments,  of,  6
moms,  out,  10
monday,  night,  19
monday,  morning,  18
monday,  and,  12
money,  to,  27
money,  for,  25
money,  on,  24
month,  of,  14
month,  and,  12
month,  for,  9
months,  ago,  18
months,  and,  11
months,  of,  11
mood,  for,  13
mood,  to,  9
mood,  today,  7
moon,  is,  5
more,  than,  272
more,  about,  60
more,  of,  57
morning,  and,  40
morning,  to,  37
morning,  i,  30
most,  of,  105
most,  people,  30
most,  important,  29
mother,  of,  10
mother,  nature,  9
mother,  is,  8
mothers,  day,  118
mothers,  out,  8
mother's,  day,  127
motivation,  to,  8
