occPerM, word
48, draw
233, dream
164, dreams
115, dress
258, drink
128, drinking
96, drinks
214, drive
44, driver
129, driving
116, drop
50, dropped
111, drunk
50, dry
334, dude
47, dudes
131, due
100, dumb
263, during
66, dying
260, each
84, earlier
393, early
101, earth
79, easier
50, easily
111, east
125, easter
214, easy
342, eat
180, eating
42, economy
67, ed
43, editing
108, education
44, effect
56, effort
45, egg
45, eggs
248, either
411, else
413, email
51, emails
47, empty
470, end
52, ended
51, ending
69, ends
119, energy
84, english
407, enjoy
159, enjoyed
143, enjoying
403, enough
54, enter
109, entire
70, epic
133, episode
143, especially
57, espn
127, etc
48, eve
1038, even
138, evening
317, event
107, events
1007, ever
799, every
176, everybody
129, everyday
1012, everyone
523, everything
44, everytime
77, everywhere
49, evil
51, ex
160, exactly
42, exam
45, example
108, excellent
91, except
629, excited
130, exciting
63, excuse
55, exercise
48, exist
106, expect
49, expected
41, expensive
191, experience
65, explain
41, express
125, extra
43, extremely
121, eye
196, eyes
69, fabulous
341, face
378, facebook
40, faces
175, fact
88, fail
51, failure
117, fair
76, faith
100, fake
247, fall
66, falling
88, fam
473, family
71, famous
364, fan
339, fans
133, fantastic
54, fantasy
378, far
83, fashion
187, fast
52, faster
129, fat
58, father
46, fault
65, fav
49, favor
511, favorite
165, fb
97, fear
65, feature
41, featuring
45, feb
82, feed
57, feedback
991, feel
352, feeling
62, feelings
172, feels
85, feet
77, fell
61, fellow
106, felt
55, female
56, fest
87, festival
472, few
225, ff
116, field
185, fight
66, fighting
122, figure
55, figured
64, fill
52, filled
196, film
183, final
420, finally
82, finals
707, find
83, finding
199, fine
63, fingers
135, finish
203, finished
45, finishing
188, fire
1259, first
83, fish
85, fit
48, fitness
101, five
92, fix
48, fixed
95, flight
91, floor
105, florida
93, fly
60, flying
104, focus
162, folks
1925, follow
177, followed
72, follower
410, followers
527, following
65, follows
486, food
57, fool
49, foot
160, football
15608, for
54, force
188, forever
302, forget
160, forgot
73, form
59, former
539, forward
330, found
113, four
72, fox
85, freaking
816, free
53, freedom
69, french
123, fresh
621, friday
517, friend
743, friends
3381, from
165, front
42, fruit
52, ft
331, full
934, fun
413, funny
244, future
1219, game
305, games
65, garden
78, gas
183, gave
135, gay
66, general
47, genius
4552, get
334, gets
1041, getting
40, giant
67, giants
156, gift
47, gig
703, girl
63, girlfriend
363, girls
770, give
90, given
105, gives
209, giving
569, glad
73, glass
44, glasses
47, global
2898, go
135, goal
71, goals
680, god
278, goes
105, goin
2271, going
76, gold
46, golden
74, golf
251, gone
887, gonna
4044, good
43, goodbye
58, goodness
107, goodnight
186, google
54, gop
108, gorgeous
46, gosh
2256, got
446, gotta
66, gotten
50, government
63, grab
42, grad
70, grade
62, graduation
71, grand
53, grateful
3053, great
100, greatest
205, green
47, grind
65, ground
192, group
111, grow
66, growing
44, grown
440, guess
72, guest
56, guitar
47, gun
516, guy
835, guys
148, gym
368, ha
46, hacked
1705, had
1066, haha
68, hahah
249, hahaha
57, hahahaha
335, hair
280, half
99, hall
62, halloween
181, hand
83, handle
133, hands
148, hang
97, hanging
258, happen
182, happened
103, happening
145, happens
83, happiness
1968, happy
609, hard
55, harder
61, harry
1882, has
45, hashtag
62, hasn't
57, hat
742, hate
55, haters
6812, have
353, haven't
617, having
2264, he
420, head
40, headache
122, headed
162, heading
64, heads
142, health
92, healthy
615, hear
378, heard
117, hearing
371, heart
42, hearts
157, heat
54, heaven
50, heavy
56, heck
42, hehe
43, held
54, he'll
244, hello
824, help
57, helped
102, helping
73, helps
1352, her
1491, here
80, here's
45, hero
53, hes
513, he's
1034, hey
398, hi
41, hide
385, high
63, higher
45, highly
110, hilarious
73, hill
1105, him
65, himself
53, hip
1389, his
185, history
468, hit
62, hits
67, hitting
101, hm
60, hmm
67, hockey
47, hoe
44, hoes
160, hold
68, holding
42, hole
142, holiday
66, holidays
60, hollywood
119, holy
971, home
43, homeless
92, homework
65, homie
57, honest
82, honestly
57, honey
77, honor
44, hood
45, hook
56, hop
1417, hope
174, hopefully
153, hoping
76, horrible
45, horse
55, hospital
55, host
58, hosting
430, hot
95, hotel
349, hour
391, hours
548, house
94, houston
3016, how
52, however
90, how's
60, hr
63, hrs
52, hug
204, huge
43, hugs
94, huh
110, human
74, hunger
121, hungry
52, hurry
166, hurt
82, hurts
63, husband
28965, i
156, ice
76, id
431, i'd
349, idea
158, ideas
42, idiot
127, idk
55, idol
4292, if
42, ignore
219, ill
1108, i'll
5192, i'm
41, image
108, imagine
47, impact
187, important
57, impossible
43, impressed
42, improve
15328, in
53, include
75, including
86, incredible
89, indeed
51, indiana
68, industry
52, indy
233, info
97, information
52, insane
139, inside
76, inspiration
60, inspired
46, inspiring
74, instagram
205, instead
42, insurance
60, interest
178, interested
262, interesting
57, international
143, internet
150, interview
873, into
63, invite
62, involved
102, ipad
158, iphone
56, ipod
41, irish
14495, is
55, island
360, isn't
126, issue
111, issues
11837, it
42, items
74, it'll
1524, its
3371, it's
51, itself
61, itunes
885, i've
74, jack
60, jackson
62, jam
113, james
42, january
49, jason
80, jazz
119, jealous
40, jeans
63, jim
54, jk
539, job
130, jobs
300, join
54, joining
117, joke
41, jokes
48, journey
69, joy
51, jr
77, judge
50, juice
100, july
74, jump
135, june
40, junior
60, jus
6100, just
46, justice
167, justin
893, keep
92, keeping
96, keeps
50, kentucky
55, kept
55, kevin
107, key
117, kick
211, kid
80, kidding
433, kids
152, kill
92, killed
45, killer
90, killing
41, kim
358, kind
179, kinda
111, king
86, kiss
58, kitchen
200, knew
53, knicks
46, knock
3212, know
76, knowing
66, knowledge
77, known
171, knows
61, kobe
332, la
60, lack
149, ladies
194, lady
59, lake
101, lakers
58, lame
57, land
60, language
50, laptop
62, large
44, las
1516, last
338, late
90, lately
263, later
80, latest
138, laugh
74, laughing
67, launch
116, law
50, lay
42, laying
70, lazy
138, lead
49, leader
44, leaders
60, leadership
45, leads
87, league
275, learn
114, learned
176, learning
350, least
287, leave
40, leaves
115, leaving
401, left
47, leg
46, legal
44, legit
62, legs
262, less
54, lesson
961, let
205, lets
507, let's
48, letter
64, letting
102, level
43, libraries
181, library
105, lie
58, lies
1335, life
177, light
70, lights
4922, like
121, liked
68, likely
105, likes
48, limit
269, line
53, lines
166, link
49, links
257, list
247, listen
309, listening
90, literally
762, little
793, live
55, lived
121, lives
186, living
315, lmao
96, lmfao
180, local
64, location
2708, lol
50, london
769, long
126, longer
1011, look
126, looked
56, lookin
1030, looking
528, looks
127, lord
55, los
187, lose
73, losing
87, loss
295, lost
552, lot
242, lots
93, loud
46, louis
53, lounge
4293, love
263, loved
123, lovely
155, loves
166, loving
109, low
389, luck
164, lucky
307, lunch
86, luv
73, mac
58, machine
226, mad
762, made
64, madison
57, magazine
87, magic
66, mail
72, main
106, major
1921, make
572, makes
47, makeup
502, making
68, mall
74, mama
1089, man
53, management
52, manager
762, many
60, marathon
145, march
127, mark
144, market
132, marketing
79, marriage
72, married
46, marry
53, mary
43, massage
45, master
81, match
66, math
81, matt
209, matter
47, matters
762, may
573, maybe
50, mayo
42, mayor
8116, me
51, meal
505, mean
43, meaning
245, means
117, meant
43, meat
283, media
408, meet
329, meeting
41, meetings
70, member
85, members
60, memories
47, memory
213, men
193, mention
42, mentioned
42, mentions
55, menu
75, merry
76, mess
165, message
48, messages
168, met
46, mexican
46, mexico
56, mi
143, miami
100, michael
123, middle
63, midnight
494, might
51, mile
83, miles
55, milk
54, miller
137, million
109, milwaukee
104, min
388, mind
44, minds
230, mine
41, mini
60, mins
130, minute
283, minutes
800, miss
260, missed
145, missing
56, mission
50, mistake
42, mistakes
90, mix
109, mobile
74, model
446, mom
274, moment
46, moments
86, moms
312, monday
464, money
264, month
175, months
86, mood
68, moon
2525, more
1055, morning
735, most
58, mostly
132, mother
142, mothers
129, mother's
99, mouth
265, move
72, moved
44, movement
52, moves
444, movie
141, movies
163, moving
139, mr
55, ms
132, mt
1793, much
44, multiple
82, museum
766, music
492, must
11808, my
371, myself
64, nah
490, name
81, named
64, names
102, nap
52, nashville
52, nasty
52, nation
168, national
61, natural
51, nature
104, nba
125, near
46, nearly
41, neck
2062, need
149, needed
377, needs
43, negative
48, neighborhood
40, neither
55, nervous
107, network
45, networking
1378, never
2820, new
44, newest
428, news
1240, next
108, nfl
889, nice
63, nick
1645, night
88, nights
3125, no
119, nobody
69, none
65, noon
87, nope
70, normal
108, north
50, nose
4980, not
102, note
52, notes
536, nothing
96, notice
65, noticed
44, november
3331, now
48, np
225, number
58, numbers
48, nuts
41, obsessed
66, obviously
46, october
14571, of
1455, off
98, offer
255, office
104, official
119, officially
140, often
1297, oh
60, ohio
54, oil
546, ok
331, okay
663, old
63, older
11231, on
322, once
3296, one
177, ones
254, online
1581, only
451, open
43, opened
160, opening
41, opens
66, opinion
46, opportunities
90, opportunity
47, option
44, options
2795, or
64, orange
184, order
45, ordered
78, original
790, other
234, others
42, otherwise
2506, our
42, ourselves
4648, out
247, outside
64, outta
1263, over
430, own
78, pack
50, packed
60, packers
245, page
53, pages
103, paid
122, pain
45, paint
57, pair
76, panel
97, pants
146, paper
147, parents
213, park
66, parking
395, part
42, partner
530, party
155, pass
80, passed
44, passing
51, passion
239, past
217, pay
54, paying
130, peace
71, peeps
2088, people
87, per
311, perfect
49, perform
109, performance
55, performing
72, perhaps
68, period
477, person
123, personal
43, pet
44, peter
70, philly
463, phone
41, phones
123, photo
107, photos
160, pic
264, pick
76, picked
45, picking
121, pics
186, picture
126, pictures
54, pie
113, piece
41, pieces
68, pink
66, pissed
55, pitch
156, pizza
457, place
85, places
232, plan
60, plane
42, planet
47, planned
118, planning
141, plans
674, play
161, played
127, player
126, players
447, playing
47, playoff
76, playoffs
68, plays
1205, please
96, pleasure
54, plenty
127, plus
746, pm
301, point
93, points
83, police
41, policy
47, political
42, politics
76, pool
112, poor
85, pop
47, popular
77, portland
62, position
104, positive
147, possible
50, possibly
332, post
115, posted
59, posting
53, posts
55, potential
212, power
49, powerful
211, ppl
51, pr
137, practice
72, pray
53, prayers
49, praying
49, prefer
42, pregnant
86, present
79, presentation
114, president
102, press
676, pretty
100, price
43, prices
53, print
66, private
43, prize
73, pro
340, probably
276, problem
116, problems
84, process
74, product
54, production
62, productive
72, products
57, professional
82, profile
138, program
47, progress
201, project
66, projects
75, prom
88, promise
42, promo
228, proud
49, provide
76, ps
178, public
82, pull
50, pulled
49, pumped
41, punch
56, purchase
49, purpose
56, push
51, pussy
574, put
115, putting
86, quality
48, quarter
51, queen
260, question
157, questions
120, quick
50, quickly
59, quiet
73, quit
144, quite
114, quote
117, race
181, radio
231, rain
48, raining
43, rainy
57, raise
75, ran
113, random
56, rangers
44, rap
53, rate
158, rather
42, raw
48, ray
150, rd
114, re
87, reach
476, read
302, reading
699, ready
663, real
86, reality
140, realize
97, realized
1839, really
237, reason
51, reasons
69, receive
60, received
51, recent
56, recently
65, recommend
156, record
56, recording
48, records
287, red
41, reference
43, regret
61, regular
52, related
101, relationship
44, relationships
47, relax
112, release
43, released
420, remember
51, remind
47, reminder
53, reminds
42, rep
45, repeat
89, reply
92, report
42, reports
50, request
115, research
118, respect
72, response
238, rest
81, restaurant
75, results
90, return
145, retweet
91, review
41, rice
80, rich
47, rick
156, ride
60, ridiculous
49, riding
1850, right
55, rights
65, ring
160, rip
48, rise
49, risk
48, river
155, road
57, robert
305, rock
42, rocking
56, rocks
69, role
102, roll
45, rolling
325, room
66, rose
46, rough
135, round
72, row
3609, rt
70, rule
67, rules
421, run
244, running
63, runs
58, rush
312, sad
41, sadly
191, safe
725, said
55, salad
127, sale
79, sales
733, same
204, san
57, sandwich
58, santa
127, sat
349, saturday
44, sauce
175, save
45, saved
524, saw
1287, say
43, sayin
290, saying
406, says
90, scared
74, scary
72, scene
87, schedule
850, school
73, schools
74, science
90, score
77, screen
44, sea
94, search
424, season
59, seat
44, seats
115, seattle
233, second
54, seconds
95, secret
45, section
54, security
2692, see
315, seeing
134, seem
233, seems
360, seen
125, self
97, sell
65, selling
57, semester
363, send
86, sending
58, senior
140, sense
174, sent
186, series
135, serious
283, seriously
52, serve
216, service
78, services
155, session
298, set
51, setting
56, several
155, sex
148, sexy
60, sf
57, shake
78, shall
61, shame
223, share
160, sharing
1196, she
266, she's
42, shine
122, shirt
49, shirts
102, shoes
159, shoot
84, shooting
113, shop
128, shopping
181, short
43, shorts
177, shot
80, shots
1467, should
94, shouldn't
196, shout
98, shoutout
1257, show
47, showed
84, shower
94, showing
193, shows
128, shut
251, sick
224, side
58, sigh
192, sign
84, signed
49, signing
41, signs
53, silly
45, similar
87, simple
62, simply
459, since
111, sing
43, singer
118, singing
214, single
115, sir
57, sis
148, sister
117, sit
221, site
44, sites
168, sitting
63, situation
60, six
64, size
64, skills
60, skin
55, sky
48, skype
530, sleep
89, sleeping
54, sleepy
117, slow
190, small
121, smart
88, smell
49, smells
182, smile
73, smoke
145, snow
6617, so
68, soccer
322, social
53, society
88, sold
54, solid
2500, some
131, somebody
53, someday
48, somehow
840, someone
913, something
74, sometime
309, sometimes
80, somewhere
154, son
519, song
169, songs
98, soo
795, soon
594, sorry
54, sort
101, soul
201, sound
424, sounds
56, soup
51, source
132, south
45, sox
127, space
61, spam
60, spanish
151, speak
98, speaking
292, special
61, specials
59, speech
50, speed
44, spell
142, spend
81, spending
111, spent
60, spirit
155, sports
117, spot
81, spread
224, spring
50, spurs
56, square
528, st
45, stadium
86, staff
117, stage
175, stand
63, standing
147, star
55, starbucks
75, stars
711, start
265, started
282, starting
187, starts
267, state
60, states
87, station
57, status
484, stay
77, staying
136, step
94, steve
75, stick
1518, still
47, stock
52, stoked
49, stomach
746, stop
72, stopped
194, store
90, stories
61, storm
312, story
132, straight
54, strange
41, strategy
185, street
42, streets
47, strength
52, stress
155, strong
106, stuck
126, student
231, students
138, studio
105, study
53, studying
408, stuff
227, stupid
106, style
204, success
77, successful
430, such
133, suck
178, sucks
53, sugar
78, suggestions
58, sum
406, summer
179, sun
341, sunday
66, sunny
49, sunshine
310, super
422, support
54, supporting
50, suppose
104, supposed
1000, sure
71, surprise
82, surprised
42, sushi
71, swag
112, swear
335, sweet
45, swing
51, sxsw
112, system
96, table
57, taco
42, tacos
58, tag
1134, take
105, taken
165, takes
331, taking
101, talent
67, talented
647, talk
70, talked
418, talking
54, talks
41, tan
40, tape
43, target
96, taste
50, tattoo
49, taught
77, tax
61, taylor
112, tea
88, teach
117, teacher
72, teachers
78, teaching
587, team
104, teams
53, tears
63, tebow
111, tech
76, technology
49, teen
49, teeth
778, tell
114, telling
56, tells
63, ten
60, term
94, terrible
150, test
45, testing
293, text
55, texting
1308, than
1609, thank
73, thankful
3617, thanks
84, thanksgiving
9457, that
1412, that's
37865, the
57, theater
49, theatre
1161, their
1570, them
53, theme
77, themselves
1304, then
2441, there
51, theres
401, there's
649, these
2804, they
61, they'll
306, they're
869, thing
853, things
2195, think
398, thinking
106, thinks
69, third
6602, this
209, tho
56, thomas
813, those
569, though
593, thought
160, thoughts
221, three
508, through
116, throw
43, throwing
104, thru
60, thunder
193, thursday
208, thx
104, ticket
237, tickets
46, tie
41, tight
130, til
220, till
64, tim
3029, time
42, timeline
397, times
139, tip
83, tips
260, tired
78, title
69, tix
31891, to
2877, today
145, today's
314, together
302, told
81, tom
1144, tomorrow
1764, tonight
73, tonight's
45, tons
52, tony
2362, too
255, took
54, tool
52, tools
305, top
56, topic
73, total
259, totally
127, touch
113, tough
175, tour
45, tournament
42, towards
198, town
127, track
41, tracks
73, trade
99, traffic
105, train
128, training
95, travel
86, treat
68, tree
56, trend
75, trending
177, tried
213, trip
85, trouble
64, truck
525, true
111, truly
146, trust
149, truth
594, try
546, trying
47, tshirt
165, tuesday
42, tumblr
87, tune
116, tuned
41, turkey
230, turn
97, turned
56, turning
67, turns
312, tv
43, tweeps
782, tweet
88, tweeted
187, tweeting
373, tweets
75, twice
1214, twitter
681, two
120, type
3111, u
221, ugh
99, ugly
83, uh
78, uk
102, um
206, under
215, understand
51, unfortunately
51, union
49, united
41, universe
77, university
107, unless
497, until
4615, up
59, upcoming
100, update
80, updates
57, upon
61, upset
595, ur
2025, us
75, usa
639, use
341, used
48, users
41, uses
256, using
48, usual
100, usually
88, vacation
79, value
44, van
151, vegas
95, version
1023, very
211, via
42, victory
442, video
109, videos
81, view
41, vision
234, visit
48, visiting
201, voice
175, vote
48, voted
42, voting
213, vs
1074, wait
297, waiting
150, wake
58, waking
234, walk
63, walked
128, walking
91, wall
574, wanna
1949, want
260, wanted
46, wanting
265, wants
93, war
106, warm
4763, was
44, wash
220, wasn't
67, waste
73, wat
677, watch
160, watched
802, watching
211, water
1489, way
97, ways
5367, we
52, weak
180, wear
162, wearing
285, weather
122, web
208, website
51, wed
69, we'd
105, wedding
142, wednesday
45, weed
1140, week
913, weekend
248, weeks
76, weight
204, weird
516, welcome
1539, well
352, we'll
414, went
1080, were
688, we're
53, weren't
146, west
52, wet
144, we've
4499, what
135, whatever
155, whats
613, what's
3322, when
63, whenever
1068, where
52, where's
69, whether
465, which
591, while
264, white
45, whitney
2229, who
57, whoa
319, whole
214, who's
44, whose
1548, why
45, wide
142, wife
88, wild
3844, will
53, willing
655, win
55, wind
66, window
55, windows
190, wine
60, wings
97, winner
40, winners
135, winning
110, wins
90, winter
52, wisdom
51, wise
730, wish
64, wishes
85, wishing
182, wit
7028, with
78, within
401, without
114, woke
194, woman
250, women
42, women's
189, won
253, wonder
250, wonderful
98, wondering
349, won't
74, woo
385, word
276, words
1697, work
100, worked
622, working
104, workout
188, works
58, workshop
836, world
48, worried
43, worries
117, worry
115, worse
171, worst
231, worth
2097, would
184, wouldn't
519, wow
191, write
228, writing
58, written
358, wrong
72, wrote
68, xoxo
544, ya
101, yall
184, y'all
47, yankees
47, yard
210, yay
240, yea
875, yeah
1076, year
542, years
47, year's
1128, yes
306, yesterday
534, yet
263, yo
59, yoga
124, york
22109, you
104, you'd
255, you'll
207, young
6946, your
72, youre
1501, you're
135, yours
330, yourself
64, youth
117, youtube
207, you've
69, yum
52, yummy
90, yup
44, zone
